Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2010-01-01;2010;1;1;Friday;New Year's Day;Federal Holiday; 
2010-01-06;2010;1;6;Wednesday;Epiphany;Christian; 
2010-01-07;2010;1;7;Thursday;Orthodox Christmas Day;Orthodox; 
2010-01-13;2010;1;13;Wednesday;Stephen Foster Memorial Day;Observance; 
2010-01-14;2010;1;14;Thursday;Orthodox New Year;Orthodox; 
2010-01-15;2010;1;15;Friday;Lee-Jackson Day;State holiday;Virginia
2010-01-18;2010;1;18;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2010-01-18;2010;1;18;Monday;Robert E. Lee's Birthday;State holiday;Arkansas
2010-01-18;2010;1;18;Monday;Robert E. Lee's Birthday;State holiday;AL, GA, MS
2010-01-18;2010;1;18;Monday;Idaho Human Rights Day;State holiday;Idaho
2010-01-18;2010;1;18;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2010-01-19;2010;1;19;Tuesday;Robert E. Lee's Birthday;State holiday;Florida
2010-01-19;2010;1;19;Tuesday;Confederate Heroes' Day;State holiday;Texas
2010-01-29;2010;1;29;Friday;Kansas Day;Observance; 
2010-01-30;2010;1;30;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2010-02-01;2010;2;1;Monday;National Freedom Day;Observance; 
2010-02-01;2010;2;1;Monday;First Day of Black History Month;Annual monthly observance; 
2010-02-02;2010;2;2;Tuesday;Groundhog Day;Observance; 
2010-02-04;2010;2;4;Thursday;Rosa Parks Day;Local observance;California
2010-02-05;2010;2;5;Friday;National Wear Red Day;Observance; 
2010-02-07;2010;2;7;Sunday;Super Bowl;Sporting event; 
2010-02-11;2010;2;11;Thursday;Maha Shivaratri;Hindu Holiday; 
2010-02-12;2010;2;12;Friday;Lincoln's Birthday;State holiday;CT, IL, MO, NJ, NY
2010-02-14;2010;2;14;Sunday;Valentine's Day;Observance; 
2010-02-14;2010;2;14;Sunday;Statehood Day;Local observance;Arizona
2010-02-14;2010;2;14;Sunday;Chinese New Year;Observance; 
2010-02-15;2010;2;15;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2010-02-15;2010;2;15;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2010-02-15;2010;2;15;Monday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
2010-02-16;2010;2;16;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
2010-02-16;2010;2;16;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2010-02-16;2010;2;16;Tuesday;Elizabeth Peratrovich Day;Local observance;Alaska
2010-02-17;2010;2;17;Wednesday;Ash Wednesday;Christian; 
2010-02-26;2010;2;26;Friday;The Prophet's Birthday;Muslim; 
2010-02-28;2010;2;28;Sunday;Holi;Hindu Holiday; 
2010-02-28;2010;2;28;Sunday;Purim;Jewish holiday; 
2010-02-28;2010;2;28;Sunday;Linus Pauling Day;Local observance;Oregon
2010-03-01;2010;3;1;Monday;St. David's Day;Observance, Christian; 
2010-03-01;2010;3;1;Monday;Casimir Pulaski Day;Local observance;Illinois**
2010-03-01;2010;3;1;Monday;First Day of Women's History Month;Annual monthly observance; 
2010-03-02;2010;3;2;Tuesday;Texas Independence Day;State holiday;Texas
2010-03-02;2010;3;2;Tuesday;Read Across America Day;Observance; 
2010-03-02;2010;3;2;Tuesday;Town Meeting Day;State holiday;Vermont
2010-03-05;2010;3;5;Friday;Employee Appreciation Day;Observance; 
2010-03-14;2010;3;14;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
2010-03-17;2010;3;17;Wednesday;St. Patrick's Day;Observance, Christian; 
2010-03-17;2010;3;17;Wednesday;Evacuation Day;State holiday;Massachusetts*
2010-03-20;2010;3;20;Saturday;March Equinox;Season; 
2010-03-25;2010;3;25;Thursday;Maryland Day;Local observance;Maryland
2010-03-26;2010;3;26;Friday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
2010-03-28;2010;3;28;Sunday;Palm Sunday;Christian; 
2010-03-29;2010;3;29;Monday;Seward's Day;State holiday;Alaska
2010-03-30;2010;3;30;Tuesday;Passover (first day);Jewish holiday; 
2010-03-31;2010;3;31;Wednesday;César Chávez Day;State holiday;CA*, CO***, TX***
2010-04-01;2010;4;1;Thursday;Maundy Thursday;Christian; 
2010-04-02;2010;4;2;Friday;Orthodox Good Friday;Orthodox; 
2010-04-02;2010;4;2;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
2010-04-02;2010;4;2;Friday;Pascua Florida Day;Local observance;Florida
2010-04-03;2010;4;3;Saturday;Holy Saturday;Christian; 
2010-04-03;2010;4;3;Saturday;Orthodox Holy Saturday;Orthodox; 
2010-04-04;2010;4;4;Sunday;Orthodox Easter;Orthodox; 
