Date;Year;Month;Day;Weekday;Holiday_name;Type;Details
2007-01-01;2007;1;1;Monday;New Year's Day;Federal Holiday; 
2007-01-06;2007;1;6;Saturday;Epiphany;Christian; 
2007-01-07;2007;1;7;Sunday;Orthodox Christmas Day;Orthodox; 
2007-01-12;2007;1;12;Friday;Lee-Jackson Day;State holiday;Virginia
2007-01-13;2007;1;13;Saturday;Stephen Foster Memorial Day;Observance; 
2007-01-14;2007;1;14;Sunday;Orthodox New Year;Orthodox; 
2007-01-15;2007;1;15;Monday;Martin Luther King Jr. Day;Federal Holiday; 
2007-01-15;2007;1;15;Monday;Robert E. Lee's Birthday;State holiday;AL, AR, GA
2007-01-15;2007;1;15;Monday;Robert E. Lee's Birthday;State holiday;Mississippi
2007-01-15;2007;1;15;Monday;Idaho Human Rights Day;State holiday;Idaho
2007-01-15;2007;1;15;Monday;Civil Rights Day;State holiday;Arizona, New Hampshire
2007-01-19;2007;1;19;Friday;Robert E. Lee's Birthday;State holiday;Florida
2007-01-19;2007;1;19;Friday;Confederate Heroes' Day;State holiday;Texas
2007-01-20;2007;1;20;Saturday;Muharram;Muslim; 
2007-01-29;2007;1;29;Monday;Kansas Day;Observance; 
2007-02-01;2007;2;1;Thursday;National Freedom Day;Observance; 
2007-02-01;2007;2;1;Thursday;First Day of Black History Month;Annual monthly observance; 
2007-02-02;2007;2;2;Friday;Groundhog Day;Observance; 
2007-02-02;2007;2;2;Friday;National Wear Red Day;Observance; 
2007-02-03;2007;2;3;Saturday;Tu Bishvat/Tu B'Shevat;Jewish holiday; 
2007-02-04;2007;2;4;Sunday;Rosa Parks Day;Local observance;California
2007-02-04;2007;2;4;Sunday;Super Bowl;Sporting event; 
2007-02-12;2007;2;12;Monday;Lincoln's Birthday;State holiday;CA, CT, IL, MO, NJ, NY
2007-02-14;2007;2;14;Wednesday;Valentine's Day;Observance; 
2007-02-14;2007;2;14;Wednesday;Statehood Day;Local observance;Arizona
2007-02-15;2007;2;15;Thursday;Susan B. Anthony's Birthday;Local observance;New York, Wisconsin
2007-02-16;2007;2;16;Friday;Elizabeth Peratrovich Day;Local observance;Alaska
2007-02-18;2007;2;18;Sunday;Chinese New Year;Observance; 
2007-02-19;2007;2;19;Monday;Presidents' Day;Federal Holiday;All except DE, GA, IA, IN, KS, KY, LA, NC, NM, RI, WI
2007-02-19;2007;2;19;Monday;Daisy Gatson Bates Day;State holiday;Arkansas
2007-02-20;2007;2;20;Tuesday;Shrove Tuesday/Mardi Gras;State holiday;Alabama*, Louisiana
2007-02-20;2007;2;20;Tuesday;Shrove Tuesday/Mardi Gras;Observance, Christian; 
2007-02-21;2007;2;21;Wednesday;Ash Wednesday;Christian; 
2007-02-28;2007;2;28;Wednesday;Linus Pauling Day;Local observance;Oregon
2007-03-01;2007;3;1;Thursday;St. David's Day;Observance, Christian; 
2007-03-01;2007;3;1;Thursday;First Day of Women's History Month;Annual monthly observance; 
2007-03-02;2007;3;2;Friday;Texas Independence Day;State holiday;Texas
2007-03-02;2007;3;2;Friday;Read Across America Day;Observance; 
2007-03-02;2007;3;2;Friday;Employee Appreciation Day;Observance; 
2007-03-04;2007;3;4;Sunday;Purim;Jewish holiday; 
2007-03-05;2007;3;5;Monday;Casimir Pulaski Day;Local observance;Illinois**
2007-03-06;2007;3;6;Tuesday;Town Meeting Day;State holiday;Vermont
2007-03-11;2007;3;11;Sunday;Daylight Saving Time starts;Clock change/Daylight Saving Time; 
2007-03-16;2007;3;16;Friday;Evacuation Day observed;State holiday;Massachusetts*
2007-03-17;2007;3;17;Saturday;St. Patrick's Day;Observance, Christian; 
2007-03-17;2007;3;17;Saturday;Evacuation Day;State holiday;Massachusetts*
2007-03-20;2007;3;20;Tuesday;March Equinox;Season; 
2007-03-25;2007;3;25;Sunday;Maryland Day;Local observance;Maryland
2007-03-26;2007;3;26;Monday;Maryland Day observed;Local observance;Maryland
2007-03-26;2007;3;26;Monday;Prince Jonah Kuhio Kalanianaole Day;State holiday;Hawaii
2007-03-26;2007;3;26;Monday;Seward's Day;State holiday;Alaska
2007-03-31;2007;3;31;Saturday;The Prophet's Birthday;Muslim; 
2007-03-31;2007;3;31;Saturday;César Chávez Day;State holiday;CA*, CO***, TX***
2007-04-01;2007;4;1;Sunday;Palm Sunday;Christian; 
2007-04-02;2007;4;2;Monday;Pascua Florida Day;Local observance;Florida
2007-04-03;2007;4;3;Tuesday;Passover (first day);Jewish holiday; 
2007-04-05;2007;4;5;Thursday;Maundy Thursday;Christian; 
2007-04-06;2007;4;6;Friday;Orthodox Good Friday;Orthodox; 
2007-04-06;2007;4;6;Friday;Good Friday;State holiday;CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***
2007-04-06;2007;4;6;Friday;National Tartan Day;Observance; 
2007-04-07;2007;4;7;Saturday;Holy Saturday;Christian; 
2007-04-07;2007;4;7;Saturday;Orthodox Holy Saturday;Orthodox; 
2007-04-08;2007;4;8;Sunday;Orthodox Easter;Orthodox; 
2007-04-08;2007;4;8;Sunday;Easter Sunday;Observance, Christian; 
2007-04-09;2007;4;9;Monday;Orthodox Easter Monday;Orthodox; 
2007-04-09;2007;4;9;Monday;Easter Monday;Observance, Christian; 
2007-04-10;2007;4;10;Tuesday;Last Day of Passover;Jewish holiday; 
2007-04-10;2007;4;10;Tuesday;National Library Workers' Day;Observance; 
2007-04-15;2007;4;15;Sunday;Yom HaShoah;Jewish commemoration; 
2007-04-15;2007;4;15;Sunday;Father Damien Day;Local observance;Hawaii
2007-04-16;2007;4;16;Monday;Emancipation Day;State holiday;DC
2007-04-16;2007;4;16;Monday;Patriot's Day;State holiday;Maine, Massachusetts
2007-04-16;2007;4;16;Monday;Boston Marathon;Sporting event; 
2007-04-17;2007;4;17;Tuesday;Tax Day;Observance; 
2007-04-21;2007;4;21;Saturday;San Jacinto Day;State holiday;Texas
2007-04-22;2007;4;22;Sunday;Oklahoma Day;Local observance;Oklahoma
2007-04-23;2007;4;23;Monday;Confederate Memorial Day;State holiday;Alabama
2007-04-23;2007;4;23;Monday;Confederate Heroes' Day;State holiday;Georgia
2007-04-24;2007;4;24;Tuesday;Yom Ha'atzmaut;Jewish holiday; 
2007-04-25;2007;4;25;Wednesday;Administrative Professionals Day;Observance; 
2007-04-26;2007;4;26;Thursday;Confederate Heroes' Day;Local observance;Florida
2007-04-26;2007;4;26;Thursday;Take our Daughters and Sons to Work Day;Observance; 
2007-04-27;2007;4;27;Friday;Arbor Day;State holiday;Nebraska
2007-04-30;2007;4;30;Monday;Confederate Memorial Day;State holiday;Mississippi
2007-05-01;2007;5;1;Tuesday;Law Day;Observance; 
2007-05-01;2007;5;1;Tuesday;Loyalty Day;Observance; 
2007-05-01;2007;5;1;Tuesday;Lei Day;Local observance;Hawaii
2007-05-03;2007;5;3;Thursday;National Day of Prayer;Observance; 
2007-05-04;2007;5;4;Friday;Kent State Shootings Remembrance;Local observance;Ohio
2007-05-04;2007;5;4;Friday;Kentucky Oaks;Sporting event; 
2007-05-04;2007;5;4;Friday;Rhode Island Independence Day;Local observance;Rhode Island
2007-05-05;2007;5;5;Saturday;Cinco de Mayo;Observance; 
2007-05-05;2007;5;5;Saturday;Kentucky Derby;Sporting event; 
2007-05-06;2007;5;6;Sunday;Lag BaOmer;Jewish holiday; 
2007-05-06;2007;5;6;Sunday;National Nurses Day;Observance; 
2007-05-08;2007;5;8;Tuesday;Truman Day;State holiday;Missouri
2007-05-08;2007;5;8;Tuesday;Victory in Europe Day;Observance; 
2007-05-10;2007;5;10;Thursday;Confederate Memorial Day;State holiday;North Carolina, South Carolina
2007-05-13;2007;5;13;Sunday;Mother's Day;Observance; 
2007-05-15;2007;5;15;Tuesday;Peace Officers Memorial Day;Observance; 
2007-05-17;2007;5;17;Thursday;Ascension Day;Christian; 
2007-05-18;2007;5;18;Friday;National Defense Transportation Day;Observance; 
2007-05-19;2007;5;19;Saturday;Armed Forces Day;Observance; 
2007-05-19;2007;5;19;Saturday;Preakness Stakes;Sporting event; 
2007-05-22;2007;5;22;Tuesday;National Maritime Day;Observance; 
2007-05-23;2007;5;23;Wednesday;Shavuot;Jewish holiday; 
2007-05-25;2007;5;25;Friday;National Missing Children's Day;Observance; 
2007-05-27;2007;5;27;Sunday;Pentecost;Christian; 
2007-05-28;2007;5;28;Monday;Whit Monday;Christian; 
2007-05-28;2007;5;28;Monday;Memorial Day;Federal Holiday; 
2007-05-28;2007;5;28;Monday;Jefferson Davis' Birthday;Local observance;Mississippi
2007-06-01;2007;6;1;Friday;Statehood Day;Local observance;Kentucky, Tennessee
2007-06-03;2007;6;3;Sunday;Trinity Sunday;Christian; 
2007-06-03;2007;6;3;Sunday;Jefferson Davis' Birthday;Local observance;Florida
2007-06-04;2007;6;4;Monday;Jefferson Davis' Birthday;State holiday;Alabama
2007-06-06;2007;6;6;Wednesday;D-Day;Observance; 
2007-06-07;2007;6;7;Thursday;Corpus Christi;Christian; 
2007-06-09;2007;6;9;Saturday;Belmont Stakes;Sporting event; 
