id,r2score,duration (min),activation,dropout,optimizer,neurons_width,hidden_layers,batch_size
xDdtY,0.0000,120.91,selu,TRUE,Adadelta,16,8,6
zj1J2,0.0000,11.09,elu,TRUE,Adam,64,32,72
Q7oxt,0.0000,35.20,LeakyReLU_0.01,TRUE,RMSProp,16,8,6
h3XTY,0.0000,36.75,LeakyReLU_0.1,TRUE,Adadelta,64,4,24
tvyk9,0.0000,51.48,elu,TRUE,Adagrad,32,8,6
xmYAB,0.0000,37.63,LeakyReLU_0.1,TRUE,Adam,128,4,24
WKNPy,0.0000,68.40,elu,TRUE,Adadelta,16,16,12
knmqx,0.0000,12.91,elu,FALSE,Adagrad,128,2,48
gIyHn,0.0000,22.06,LeakyReLU_0.1,TRUE,Adam,64,4,24
mmB5t,0.0000,47.43,selu,TRUE,Adagrad,128,4,24
YZVtT,0.0000,12.07,LeakyReLU_0.01,TRUE,Adagrad,32,8,48
AzKIY,0.0000,41.58,LeakyReLU_0.1,TRUE,Adam,64,8,24
iGwvT,0.0000,136.89,LeakyReLU_0.05,TRUE,Adagrad,128,32,48
kb1gw,0.0000,14.11,LeakyReLU_0.05,FALSE,Adagrad,16,16,6
spj6l,0.0000,10.42,LeakyReLU_0.05,FALSE,Adagrad,64,8,6
KqfwL,0.0000,48.01,selu,TRUE,RMSProp,32,16,48
xnHod,0.0000,14.11,LeakyReLU_0.1,FALSE,Adadelta,32,8,48
iykbr,0.0000,12.85,LeakyReLU_0.01,TRUE,Adadelta,16,2,72
EwfIH,0.0000,63.72,relu,TRUE,Adam,64,32,24
qZR3v,0.0000,22.21,LeakyReLU_0.1,TRUE,Adagrad,64,8,24
Y3HAv,0.0000,50.66,elu,TRUE,Adagrad,16,16,6
M18N9,0.0000,46.17,relu,TRUE,Adagrad,16,16,6
BqBJw,0.0000,14.38,selu,TRUE,Adagrad,128,8,48
BrbOG,0.0000,34.73,LeakyReLU_0.1,TRUE,Adadelta,64,4,24
PbOAB,0.0000,58.78,LeakyReLU_0.01,TRUE,Adam,16,8,6
EIxUQ,0.0000,21.97,LeakyReLU_0.1,TRUE,Adam,64,4,24
AoJ1j,0.0000,1.79,selu,FALSE,Adadelta,16,8,72
R0CvL,0.0000,32.92,LeakyReLU_0.1,TRUE,Adam,64,8,24
C7Gva,0.0000,12.66,LeakyReLU_0.1,TRUE,Adagrad,32,32,72
al6Tk,0.0000,37.13,LeakyReLU_0.05,TRUE,Adagrad,64,2,12
r83S8,0.0000,129.64,LeakyReLU_0.05,TRUE,Adadelta,128,2,6
QFiXC,0.0000,25.65,LeakyReLU_0.1,TRUE,RMSProp,128,32,48
y7WPs,0.0000,1.52,LeakyReLU_0.05,FALSE,Adadelta,64,8,72
xpn5I,0.0000,14.44,elu,FALSE,Adadelta,32,16,72
afzky,0.0000,30.48,elu,TRUE,RMSProp,128,4,48
fshW0,0.0000,14.77,LeakyReLU_0.01,TRUE,RMSProp,64,4,72
E31Kg,0.0000,36.10,LeakyReLU_0.1,TRUE,Adam,128,4,24
rtAOe,0.0000,41.17,elu,TRUE,Adam,16,16,6
RAAZM,0.0000,26.53,LeakyReLU_0.05,TRUE,RMSProp,16,16,6
RWoMy,0.0000,10.96,relu,TRUE,Adagrad,64,4,24
GGWTY,0.0000,5.26,LeakyReLU_0.01,TRUE,Adagrad,32,8,72
mfKWM,0.0000,7.47,LeakyReLU_0.05,TRUE,RMSProp,32,2,72
cGiWj,0.0000,4.23,LeakyReLU_0.1,TRUE,Adam,16,2,72
k8ulX,0.0000,82.21,LeakyReLU_0.1,TRUE,RMSProp,128,2,6
IDVuj,0.0000,22.67,selu,TRUE,Adadelta,16,32,48
a4pk2,0.0000,33.70,LeakyReLU_0.05,TRUE,RMSProp,64,4,6
GypXF,0.0000,86.77,LeakyReLU_0.1,TRUE,Adam,128,4,6
GRCI2,0.0000,9.10,relu,FALSE,Adagrad,32,2,72
Kmo1o,0.0000,14.32,LeakyReLU_0.01,FALSE,RMSProp,128,32,72
Fmhmj,0.0000,30.91,LeakyReLU_0.05,TRUE,Adam,64,32,48
b1pvh,0.0000,29.16,LeakyReLU_0.1,TRUE,Adam,128,8,72
Qjd6j,0.0000,39.69,LeakyReLU_0.05,TRUE,RMSProp,32,32,24
ctq6Z,0.0000,11.35,LeakyReLU_0.1,TRUE,Adagrad,16,8,48
aVATO,0.0000,25.33,selu,TRUE,Adagrad,32,2,24
ZgoSK,0.0000,117.29,LeakyReLU_0.01,TRUE,Adagrad,128,4,6
xnoqw,0.0000,20.75,selu,TRUE,RMSProp,128,2,72
QVAYa,0.0000,23.38,LeakyReLU_0.01,FALSE,Adagrad,32,2,24
mSiKm,0.0000,49.16,LeakyReLU_0.05,TRUE,Adam,64,4,12
DH3xq,0.0000,33.65,LeakyReLU_0.1,TRUE,Adam,32,8,24
bCH40,0.0000,27.56,relu,TRUE,Adagrad,64,16,12
Gdrnz,0.0000,81.19,LeakyReLU_0.1,TRUE,Adagrad,128,4,12
teK3e,0.0000,38.61,LeakyReLU_0.1,TRUE,Adagrad,64,4,12
nYUiI,0.0000,6.69,relu,FALSE,Adagrad,64,4,6
HfNCg,0.0000,34.37,LeakyReLU_0.1,FALSE,Adagrad,32,4,12
tJzui,0.0000,43.05,relu,TRUE,RMSProp,16,32,24
s4dVZ,0.0000,29.24,LeakyReLU_0.1,TRUE,RMSProp,16,16,12
zhO0N,0.0000,10.26,LeakyReLU_0.1,FALSE,Adagrad,32,4,48
etjaK,0.0000,37.05,LeakyReLU_0.1,TRUE,Adadelta,32,16,48
Mepf4,0.0000,11.22,elu,FALSE,Adagrad,32,4,72
H8QvE,0.0000,7.48,LeakyReLU_0.01,FALSE,Adagrad,32,4,72
PM9B5,0.0000,9.92,relu,FALSE,Adagrad,16,4,72
CX0v8,0.0000,5.54,LeakyReLU_0.01,TRUE,Adagrad,16,8,72
vq1ge,0.0000,69.41,LeakyReLU_0.1,TRUE,Adadelta,64,4,12
JUVcf,0.0000,9.82,relu,FALSE,Adagrad,32,4,48
wQFEM,0.0000,65.70,selu,TRUE,Adadelta,16,8,12
x0keK,0.0000,97.98,LeakyReLU_0.1,TRUE,Adagrad,16,16,6
eD21x,0.0000,1.75,selu,FALSE,Adagrad,32,8,72
C3YGl,0.0000,17.05,LeakyReLU_0.1,TRUE,RMSProp,64,16,48
iRJLj,0.0000,31.24,relu,TRUE,Adadelta,32,4,24
qrccu,0.0000,72.59,LeakyReLU_0.05,TRUE,Adam,128,8,6
ANU30,0.0000,2.33,relu,FALSE,Adagrad,64,4,24
FpZrj,0.0000,124.69,LeakyReLU_0.05,TRUE,Adam,32,8,6
RjPxa,0.0000,28.15,relu,TRUE,Adadelta,128,8,72
BnK7w,0.0000,3.86,selu,FALSE,Adagrad,128,4,24
NlFsr,0.0000,65.33,relu,TRUE,Adadelta,16,4,12
Yjj3O,0.0000,133.31,LeakyReLU_0.01,TRUE,Adadelta,128,8,12
Wad9t,0.0000,40.31,selu,TRUE,Adagrad,128,8,72
PwJib,0.0000,15.86,elu,FALSE,Adagrad,16,2,24
nBwyv,0.0000,19.78,LeakyReLU_0.05,FALSE,Adadelta,32,16,48
qZ77p,0.0000,37.64,LeakyReLU_0.05,TRUE,Adadelta,128,8,48
yo2P5,0.0000,6.80,LeakyReLU_0.05,FALSE,Adagrad,128,2,6
x5gHc,0.0000,16.67,LeakyReLU_0.01,TRUE,Adam,32,32,72
jQ8ph,0.0000,132.75,relu,FALSE,Adadelta,128,2,6
sjHJ4,0.0000,14.04,LeakyReLU_0.1,TRUE,RMSProp,64,2,72
aZbaX,0.0000,52.31,LeakyReLU_0.1,TRUE,Adam,128,2,12
eF7L7,0.0000,18.70,LeakyReLU_0.01,TRUE,Adam,128,8,24
kbozA,0.0000,104.19,selu,FALSE,Adadelta,16,16,12
B7oKL,0.0000,6.91,relu,TRUE,RMSProp,16,8,24
P5AiI,0.0000,21.23,relu,TRUE,RMSProp,128,2,48
aZRAw,0.0000,92.03,LeakyReLU_0.1,TRUE,Adagrad,32,4,6
E5u1z,0.0000,22.87,LeakyReLU_0.05,TRUE,RMSProp,128,2,48
msoxi,0.0000,13.93,LeakyReLU_0.05,TRUE,Adagrad,64,2,48
HOZ44,0.0000,92.13,elu,TRUE,Adadelta,64,4,6
nTsTD,0.0000,71.45,LeakyReLU_0.05,TRUE,Adam,32,16,12
FNyKF,0.0000,13.14,LeakyReLU_0.1,FALSE,Adagrad,16,8,48
dy859,0.0000,20.38,relu,TRUE,Adam,128,2,48
ZAHIJ,0.0000,14.71,LeakyReLU_0.1,FALSE,Adagrad,16,4,48
CRKra,0.0000,35.51,LeakyReLU_0.01,TRUE,Adadelta,32,2,24
nWrVq,0.0000,12.47,selu,FALSE,Adagrad,64,8,6
qbT2H,0.0000,25.30,LeakyReLU_0.01,TRUE,RMSProp,16,16,12
UXk8j,0.0000,20.44,LeakyReLU_0.01,TRUE,Adam,128,4,48
